"subject"	"IAT1"	"IAT1_odd"	"IAT1_even"	"IAT1_block1"	"Liking_1"	"Expect_1"	"measureorder"	"Liking_2"	"Expect_2"	"measureorder2"	"USaversiveness"	"instructionclarity"	"instructionbelief"	"Group"	"Contingency"	"Cooccurrence"	"Csplus"	"presorder"	"measorder"	"memory1_response"	"Expect1_CSplus"	"Expect1_CSmin"	"Liking1_CSplus"	"Liking1_CSmin"
"57"	110	-0.6522	1.0345	0.2829	"incompatibletest1"	1.43095153783954	1.5504947968891	1	-0.0778319878855952	-0.916740892669522	1	5	8	9	14	1	2	2	2	1	"4 times followed by the sound, once not followed"	1.5504947968891	-0.916740892669522	1.43095153783954	-0.0778319878855952
"58"	111	-0.1584	0.0341	-0.3749	"compatibletest1"	0.0871013979554501	-1.17664452860365	1	-0.0778319878855952	-0.916740892669522	1	2	8	9	15	2	2	2	1	1	"4 times followed by the sound, 4 times not followed"	-0.916740892669522	-1.17664452860365	-0.0778319878855952	0.0871013979554501
"59"	113	0.5183	0.3788	0.755	"compatibletest1"	0.0871013979554501	1.5504947968891	2	0.139220598048882	-0.199291498406418	2	2	4	7	17	1	1	1	1	2	"8 times followed by the sound, twice not followed"	1.5504947968891	-0.199291498406418	0.0871013979554501	0.139220598048882
"60"	118	0.5314	-0.3906	-0.7288	"incompatibletest1"	-0.360848648672579	1.5504947968891	2	-0.294884573820072	-0.916740892669522	2	3	9	8	22	1	2	1	2	2	"Never followed by the sound"	-0.916740892669522	1.5504947968891	-0.294884573820072	-0.360848648672579
"61"	124	0.1802	-0.0568	-0.3831	"incompatibletest1"	0.0871013979554501	-0.787053196390404	2	-0.0778319878855952	-0.199291498406418	2	0	3	5	28	2	1	2	2	2	"8 times followed by the sound, 8 times not followed"	-0.787053196390404	-0.199291498406418	0.0871013979554501	-0.0778319878855952
"62"	126	-0.8669	1.1137	0.6432	"incompatibletest1"	1.20697651452552	1.16090346467585	2	-0.0778319878855952	-0.916740892669522	2	4	8	9	30	1	2	2	2	2	"4 times followed by the sound, once not followed"	1.16090346467585	-0.916740892669522	1.20697651452552	-0.0778319878855952
"63"	128	-1.0287	1.2161	0.7587	"incompatibletest1"	0.0871013979554501	-0.00787053196390392	2	-0.0778319878855952	-0.199291498406418	2	3	8	9	0	2	2	2	2	2	"4 times followed by the sound, 4 times not followed"	-0.00787053196390392	-0.199291498406418	0.0871013979554501	-0.0778319878855952
"64"	130	-0.0917	0.1259	0.0183	"incompatibletest1"	2.32685163109559	0.381720800249346	1	2.09269387145917	1.23560729011979	1	5	9	9	2	1	1	1	2	1	"8 times followed by the sound, twice not followed"	1.23560729011979	0.381720800249346	2.09269387145917	2.32685163109559
"65"	131	1.063	1.0736	1.0791	"compatibletest1"	0.0871013979554501	0.381720800249346	1	-0.0778319878855952	-0.916740892669522	1	5	8	8	3	2	1	1	1	1	"8 times followed by the sound, 8 times not followed"	0.381720800249346	-0.916740892669522	0.0871013979554501	-0.0778319878855952
"66"	133	0.1987	0.3793	-0.1182	"compatibletest1"	0.0871013979554501	1.16090346467585	1	0.790378355852312	-0.916740892669522	1	3	8	7	5	1	2	1	1	1	"4 times followed by the sound, once not followed"	1.16090346467585	-0.916740892669522	0.0871013979554501	0.790378355852312
"67"	135	-0.4402	-0.7056	-0.1604	"compatibletest1"	0.759026467897493	-0.397461864177154	1	0.790378355852312	-0.916740892669522	1	0	9	9	7	2	2	1	1	1	"4 times followed by the sound, 4 times not followed"	-0.397461864177154	-0.916740892669522	0.759026467897493	0.790378355852312
"68"	136	-0.7102	0.6656	0.9182	"incompatibletest1"	0.0871013979554501	0.381720800249346	1	-0.0778319878855952	0.876882592988238	1	5	8	8	8	2	2	1	2	1	"4 times followed by the sound, 4 times not followed"	0.876882592988238	0.381720800249346	-0.0778319878855952	0.0871013979554501
"69"	138	-0.6419	0.9397	0.22	"incompatibletest1"	-2.15264883518469	-0.00787053196390392	1	-2.24835784723036	-0.916740892669522	1	-2	4	4	10	1	1	2	2	1	"8 times followed by the sound, twice not followed"	-0.00787053196390392	-0.916740892669522	-2.15264883518469	-2.24835784723036
"70"	139	0.423	0.2335	0.7544	"compatibletest1"	0.0871013979554501	-1.17664452860365	1	-0.0778319878855952	-0.916740892669522	1	5	9	9	11	2	1	2	1	1	"8 times followed by the sound, 8 times not followed"	-0.916740892669522	-1.17664452860365	-0.0778319878855952	0.0871013979554501
"71"	140	0.4735	-0.4962	-0.493	"incompatibletest1"	-1.03277371861462	0.381720800249346	1	0.356273183983358	0.159433198725134	1	4	3	6	12	2	1	2	2	1	"Always followed by the sound"	0.381720800249346	0.159433198725134	-1.03277371861462	0.356273183983358
"72"	147	-0.0051	0.0895	-0.2498	"compatibletest1"	-0.360848648672579	0.381720800249346	2	0.356273183983358	-0.916740892669522	2	2	8	8	19	2	1	1	1	2	"8 times followed by the sound, 8 times not followed"	0.381720800249346	-0.916740892669522	-0.360848648672579	0.356273183983358
"73"	150	0.5313	-0.5275	-0.5336	"incompatibletest1"	-0.584823671986593	-1.17664452860365	2	0.573325769917835	1.59433198725134	2	2	8	8	22	1	2	1	2	2	"4 times followed by the sound, once not followed"	1.59433198725134	-1.17664452860365	0.573325769917835	-0.584823671986593
