"subject"	"IAT1"	"IAT1_odd"	"IAT1_even"	"IAT1_block1"	"Liking_1"	"Expect_1"	"measureorder"	"Liking_2"	"Expect_2"	"measureorder2"	"US1valence"	"US2valence"	"instructionclarity"	"instructionbelief"	"Soundcdt"	"Group"	"presorder"	"Contingency"	"Csplus"	"measorder_soundorder"	"nrUSs"	"IATtype"	"concorr"	"lat_comp"	"lat_incomp"	"negUSvalence"	"posUSvalence"	"Expect1_CSplus"	"Expect1_CSmin"	"Liking1_CSplus"	"Liking1_CSmin"
"60"	495827467	-0.0541	-0.0458	-0.0784	"compatibletest1"	-2.07356919989697	0.0696875305814321	2	-2.09757109502899	0.318639728485739	2	-5	NA	9	0	1	11	1	2	1	2	1	1	1	812.533333333333	807.966666666667	-5	NA	0.0696875305814321	0.318639728485739	-2.07356919989697	-2.09757109502899
"61"	503621444	0.2146	-0.2831	-0.1076	"incompatibletest1"	-0.0110212485947447	1.18753240888767	1	0.558312603732622	0.318639728485739	1	-5	NA	9	8	1	4	2	2	1	1	1	1	2	845.15	912.7	-5	NA	0.318639728485739	1.18753240888767	0.558312603732622	-0.0110212485947447
"62"	531485150	-0.179	0.2505	0.0661	"incompatibletest1"	-0.0110212485947447	0.814917449452257	2	-0.0545836344431334	-1.02787009188948	2	-2	-4	7	7	2	30	2	1	2	2	2	1	2	657.016666666667	581.466666666667	-4	-2	0.814917449452257	-1.02787009188948	-0.0110212485947447	-0.0545836344431334
"63"	542791619	-0.6066	-0.8259	-0.3272	"compatibletest1"	-0.0110212485947447	0.0696875305814321	1	0.966910095849792	-1.02787009188948	1	-5	NA	8	9	1	3	1	2	1	1	1	1	2	1010.36666666667	721.516666666667	-5	NA	0.0696875305814321	-1.02787009188948	-0.0110212485947447	0.966910095849792
"64"	544829445	0.3987	0.3446	0.4593	"compatibletest1"	-0.0110212485947447	-1.42077230716022	1	-0.0545836344431334	0.991894638673348	1	-5	NA	7	8	1	5	1	1	2	1	1	1	2	545.15	622.816666666667	-5	NA	0.991894638673348	-1.42077230716022	-0.0545836344431334	-0.0110212485947447
"65"	550733009	0.6765	0.8172	0.5405	"compatibletest1"	0.813997931926147	0.814917449452257	1	-0.463181126560304	-1.02787009188948	1	-2	3	9	8	2	17	1	1	1	1	2	1	2	579.4	693.266666666667	-2	3	0.814917449452257	-1.02787009188948	0.813997931926147	-0.463181126560304
"66"	568986198	0.0939	-0.2114	0.0846	"incompatibletest1"	-0.0110212485947447	0.814917449452257	1	-0.0545836344431334	-1.02787009188948	1	-2	3	8	9	2	22	2	1	2	1	2	1	2	624.55	632.85	-2	3	0.814917449452257	-1.02787009188948	-0.0110212485947447	-0.0545836344431334
"67"	578190809	0.1538	0.3341	-0.1101	"compatibletest1"	-2.07356919989697	0.814917449452257	2	-2.09757109502899	-1.02787009188948	2	2	-5	9	9	2	25	1	1	1	2	2	1	2	824.783333333333	847.383333333333	-5	2	0.814917449452257	-1.02787009188948	-2.07356919989697	-2.09757109502899
"68"	600379789	0.8027	0.7717	0.8278	"compatibletest1"	-0.0110212485947447	-1.42077230716022	2	-0.0545836344431334	-1.02787009188948	2	-4	NA	7	5	1	13	1	1	2	2	1	1	2	611.983333333333	773.6	-4	NA	-1.02787009188948	-1.42077230716022	-0.0545836344431334	-0.0110212485947447
"69"	604194443	0.2899	0.2714	0.5421	"compatibletest1"	-1.04229522424586	0.0696875305814321	2	-0.0545836344431334	-1.02787009188948	2	-5	NA	9	9	1	11	1	2	1	2	1	1	2	648.15	723.8	-5	NA	0.0696875305814321	-1.02787009188948	-1.04229522424586	-0.0545836344431334
"70"	607575494	0.647	-0.2976	-1.0296	"incompatibletest1"	-0.0110212485947447	0.0696875305814321	1	-0.0545836344431334	-1.02787009188948	1	-5	NA	9	5	1	6	2	1	2	1	1	1	2	676.416666666667	830.533333333333	-5	NA	0.0696875305814321	-1.02787009188948	-0.0110212485947447	-0.0545836344431334
"71"	609045512	0.4069	-0.1723	-0.6889	"incompatibletest1"	-0.0110212485947447	0.0696875305814321	1	-0.0545836344431334	-1.02787009188948	1	-5	NA	9	9	1	8	2	2	2	1	1	1	2	666.783333333333	748.883333333333	-5	NA	0.0696875305814321	-1.02787009188948	-0.0110212485947447	-0.0545836344431334
"72"	628366283	0.0444	0.3209	-0.118	"compatibletest1"	2.05152670270748	0.0696875305814321	2	1.98840382614272	-1.02787009188948	2	-2	NA	3	3	1	11	1	2	1	2	1	1	2	894.766666666667	898.416666666667	-2	NA	0.0696875305814321	-1.02787009188948	2.05152670270748	1.98840382614272
"73"	635568851	1.0041	1.0359	0.9786	"compatibletest1"	-0.0110212485947447	0.0696875305814321	1	-0.0545836344431334	-1.02787009188948	1	-4	1	8	8	2	19	1	2	1	1	2	1	2	640.233333333333	835.016666666667	-4	1	0.0696875305814321	-1.02787009188948	-0.0110212485947447	-0.0545836344431334
"74"	644201817	0.4596	0.4372	0.5797	"compatibletest1"	-2.07356919989697	1.18753240888767	2	-2.09757109502899	1.66514954886096	2	3	-5	8	8	2	25	1	1	1	2	2	1	2	609.016666666667	683.316666666667	-5	3	1.18753240888767	1.66514954886096	-2.07356919989697	-2.09757109502899
"75"	656711511	0.6268	0.7556	0.4182	"compatibletest1"	1.02025272705637	-1.0481573477248	1	-2.09757109502899	0.318639728485739	1	-4	0	9	8	2	23	1	2	2	1	2	1	2	664.5	945.033333333333	-4	0	0.318639728485739	-1.0481573477248	-2.09757109502899	1.02025272705637
