date;time;group;subject;session;build;memory1_2_response;memory1_latency;memory2_2_response;memory2_latency
27/08/20;14:01:24;203553829;581;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;6677;Always followed by the PLEASANT sound;1693
27/08/20;14:00:58;630135032;297;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;9755;Always followed by the SECOND sound;6196
27/08/20;14:01:22;954952774;548;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;12977;Always followed by the SECOND sound;6312
27/08/20;14:03:10;757104664;578;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;11452;Always followed by the SECOND sound;3512
27/08/20;14:01:41;83750545;359;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;15659;Never followed by the PLEASANT sound;5726
27/08/20;14:02:35;458082832;617;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;9061;Always followed by the SECOND sound;4958
27/08/20;14:01:50;794458153;433;1;6.2.2;Never followed by the FIRST sound;41100;Never followed by the SECOND sound;35138
27/08/20;14:02:50;275253494;579;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;14053;Always followed by the SECOND sound;6061
27/08/20;14:02:05;80969645;426;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;26076;Always followed by the SECOND sound;4974
27/08/20;14:03:20;293646888;583;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;6920;Always followed by the PLEASANT sound;2415
27/08/20;14:03:44;416147257;587;1;6.2.2;Always followed by the FIRST sound;8032;8 times followed by the SECOND sound, twice not followed by any sound;8713
27/08/20;14:03:42;527024488;557;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;16009;Always followed by the PLEASANT sound;4951
27/08/20;09:04:31;447367576;654;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;8440;Always followed by the PLEASANT sound;2443
27/08/20;14:05:02;219976690;644;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;13494;Always followed by the SECOND sound;4249
27/08/20;14:05:51;668972400;513;1;6.2.2;I don't remember;13853;Always followed by the SECOND sound;4146
27/08/20;14:05:28;107618692;641;1;6.2.2;I don't remember;8716;I don't remember;7454
27/08/20;14:07:00;611382704;640;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;5521;Always followed by the PLEASANT sound;4038
27/08/20;14:07:26;197192135;680;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;8399;Always followed by the PLEASANT sound;3046
27/08/20;14:08:08;973530159;591;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;23842;Always followed by the PLEASANT sound;7178
27/08/20;14:08:58;607845591;701;1;6.2.1;8 times followed by the UNPLEASANT sound, twice not followed by any sound;7392;Always followed by the PLEASANT sound;2221
27/08/20;14:10:18;562735566;693;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;6632;Always followed by the PLEASANT sound;1924
27/08/20;14:11:02;610024073;637;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;12215;Always followed by the PLEASANT sound;3555
27/08/20;14:11:48;663371458;659;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;10743;Always followed by the SECOND sound;3278
27/08/20;08:09:01;551589010;675;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;12190;Always followed by the SECOND sound;8028
27/08/20;14:12:47;86596999;711;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;7341;Always followed by the PLEASANT sound;3669
27/08/20;14:12:42;159359979;625;1;6.2.1;8 times followed by the FIRST sound, twice not followed by any sound;8255;Always followed by the SECOND sound;2340
27/08/20;14:13:18;893553771;417;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;8361;Always followed by the SECOND sound;5689
27/08/20;14:13:05;671306707;593;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;10210;Always followed by the SECOND sound;6507
27/08/20;14:14:17;121241534;707;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;9652;Always followed by the SECOND sound;3179
27/08/20;14:14:18;573314140;632;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;15713;Always followed by the PLEASANT sound;6715
27/08/20;14:16:36;185619185;490;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;12798;Always followed by the SECOND sound;8881
27/08/20;14:17:32;383640331;704;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;14767;Always followed by the PLEASANT sound;5230
27/08/20;09:19:22;617751688;525;1;6.2.1;8 times followed by the UNPLEASANT sound, twice not followed by any sound;5844;Always followed by the PLEASANT sound;3404
27/08/20;14:19:59;472245598;713;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;12750;Always followed by the SECOND sound;3735
27/08/20;14:19:51;109503022;379;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;10212;Twice followed by the SECOND sound, 8 times not followed by any sound;5715
27/08/20;14:30:14;718705717;726;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;4982;Always followed by the PLEASANT sound;2768
27/08/20;14:31:35;333960643;736;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;5580;Always followed by the PLEASANT sound;3369
