date;time;group;subject;session;build;memory1_response;memory1_latency;memory2_response;memory2_latency
27/08/20;13:52:10;422231987;333;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;6683;Always followed by the PLEASANT sound;6656
27/08/20;13:51:10;415337249;531;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;14823;Always followed by the SECOND sound;24235
27/08/20;13:51:46;394817869;529;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;14432;Always followed by the SECOND sound;3459
27/08/20;13:52:36;203553829;581;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;35308;I don't remember;4170
27/08/20;13:53:14;838490384;442;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;9012;Always followed by the SECOND sound;5871
27/08/20;13:52:05;930991084;592;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;22011;Always followed by the PLEASANT sound;6828
27/08/20;13:51:00;954952774;548;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;14317;Always followed by the SECOND sound;16027
27/08/20;13:52:06;630135032;297;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;12973;Always followed by the SECOND sound;6434
27/08/20;13:52:32;794458153;433;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;38206;Twice followed by the SECOND sound, 8 times not followed by any sound;19613
27/08/20;13:51:58;527024488;557;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;17829;Always followed by the PLEASANT sound;8231
27/08/20;13:54:08;210054580;610;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;7716;Always followed by the SECOND sound;3074
27/08/20;13:53:56;147365571;609;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;6807;Always followed by the SECOND sound;4938
27/08/20;13:55:09;458082832;617;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;15438;Always followed by the SECOND sound;8834
27/08/20;13:54:29;275253494;579;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;21028;Always followed by the SECOND sound;9785
27/08/20;13:55:26;668972400;513;1;6.2.2;I don't remember;15574;I don't remember;8013
27/08/20;13:55:00;757104664;578;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;16457;Always followed by the SECOND sound;4945
27/08/20;13:56:27;416147257;587;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;10664;Never followed by the SECOND sound;8543
27/08/20;13:56:29;293646888;583;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;10390;Always followed by the PLEASANT sound;5036
